time,RMB.sada,LC.sada
1647,1.039999962,-1.281000018
1648,1.463999987,0.577000022
1649,0.73299998,-1.004999995
1650,-0.99000001,-1.643000007
1651,1.251999974,-0.270999998
1652,3.930000067,1.292000055
1653,3.676000118,1.261000037
1654,1.812999964,-1.934999943
1655,-0.513999999,-4.267000198
1656,0.640999973,-1.786999941
1657,1.812000036,-1.264000058
1658,3.743000031,0
1659,2.312000036,-0.541999996
1660,0.996999979,-1.636999965
1661,0.356000006,-0.593999982
1662,2.312999964,-0.561999977
1663,0.261999995,-0.731000006
1664,-2.871999979,-2.720000029
1665,-0.090999998,-1.246999979
1666,-0.626999974,-1.151000023
1667,0.790000021,-0.720000029
1668,1.623000026,-0.578000009
1669,-1.194000006,-2.834000111
1670,2.339999914,0.02
1671,1.957999945,0.112000003
1672,0.684000015,-0.179000005
1673,0.865999997,0.574999988
1674,1.128000021,1.580000043
1675,-0.155000001,-0.666000009
1676,0.649999976,-0.637000024
1677,0.059999999,-0.89200002
1678,1.348999977,-0.981000006
1679,0.883000016,0.723999977
1680,-0.777999997,0.023
1681,-5.537000179,-2.619999886
1682,-3.365999937,-0.848999977
1683,-0.740999997,1.412999988
1684,0.233999997,1.059999943
1685,-0.936999977,-0.301999986
1686,-1.603000045,-0.405000001
1687,0.651000023,-0.795000017
1688,-0.01,-1.582000017
1689,-1.032999992,-1.023000002
1690,-0.358999997,-0.129999995
1691,-0.542999983,0.234999999
1692,-2.056999922,-1.819000006
1693,0.072999999,0.625999987
1694,-1.603999972,-1.952999949
1695,-2.298000097,-2.140000105
1696,0.199000001,-0.550000012
1697,0.208000004,-3.122999907
1698,-0.224000007,-5.574999809
1699,2.786000013,-0.232999995
1700,1.998000026,-0.349999994
1701,1.034000039,-0.813000023
1702,0.439999998,-0.564999998
1703,3.693000078,2.003999949
1704,2.388999939,-0.788999975
1705,-1.786000013,-3.799999952
1706,1.797000051,0.391000003
1707,1.501999974,-0.105999999
1708,2.346999884,0.314999998
1709,-1.146000028,-1.036000013
1710,-0.455000013,0.268999994
1711,1.261999965,1.524000049
1712,-0.119000003,-0.660000026
1713,0.039999999,-0.472000003
1714,0.393000007,-2.322999954
1715,0.925000012,-1.166000009
1716,-0.435000002,-0.749000013
1717,-1.955000043,-5.342999935
1718,1.146000028,-2.654999971
1719,1.937000036,1.215000033
1720,3.638999939,2.407999992
1721,-0.648999989,-2.052000046
1722,1.338999987,-0.437999994
1723,2.086999893,-1.13499999
1724,2.760999918,-0.286000013
1725,2.069000006,0.331
1726,1.761000037,0.493999988
1727,2.436000109,1.501000047
1728,1.467000008,-1.105999947
1729,-0.009,-1.057999969
1730,1.282999992,-0.787
1731,1.949000001,-0.323000014
1732,0.393999994,-2.224999905
1733,-0.052000001,-1.667999983
1734,2.637000084,2.239000082
1735,0.240999997,-0.423000008
1736,-0.925999999,-2.624000072
1737,-0.845000029,-3.60800004
1738,-0.166999996,-3.375999928
1739,3.815000057,0.55400002
1740,3.111000061,-0.930999994
1741,3.519000053,-1.465000033
1742,3.710000038,0.901000023
1743,2.112999916,-1.850999951
1744,2.196000099,-3.799000025
1745,0.147,-2.571000099
1746,-1.100000024,-3.565999985
1747,-0.860000014,-1.840000033
1748,1.398000002,1.618000031
1749,1.600000024,1.422999978
1750,-0.610000014,-0.109999999
1751,-2.15899992,-1.626000047
1752,-1.345999956,-1.889999986
1753,0.72299999,0.342999995
1754,-0.59799999,-1.300999999
1755,-0.086000003,-0.532000005
1756,2.357000113,0.856999993
1757,1.037999988,0.088
1758,0.418000013,-0.934000015
1759,1.822000027,3.880000114
1760,2.463999987,3.354000092
1761,-0.397000015,0.689999998
1762,-1.476999998,0.361999989
1763,1.84800005,1.177999973
1764,-0.638999999,-0.558000028
1765,-0.476000011,-1.039000034
1766,1.745000005,0.093000002
1767,-0.215000004,-0.693000019
1768,0.646000028,0.541999996
1769,-1.998999953,-2.911000013
1770,0.115000002,-1.904000044
1771,0.321999997,0.092
1772,0.796000004,0.717000008
1773,3.255000114,1.527999997
1774,2.453999996,0.312999994
1775,3.717000008,-0.171000004
1776,2.34800005,-1.399999976
1777,4.107999802,0.375999987
1778,1.373999953,-0.859000027
1779,-0.550000012,-1.317000031
1780,0.305999994,1.077999949
1781,1.838000059,0.799000025
1782,-1.481999993,-1.319000006
1783,-1.343000054,-1.582999945
1784,1.503000021,-0.321999997
1785,0.196999997,-0.717000008
1786,-1.264999986,-2.855000019
1787,0.529999971,-3.664999962
1788,3.019999981,-1.236999989
1789,1.988000035,0.023
1790,2.872999907,0.950999975
1791,0.714999974,0.510999978
1792,-0.49000001,-0.263000011
1793,2.523000002,2.04399991
1794,0.708000004,0.64200002
1795,1.047999978,-0.215000004
1796,3.589999914,2.167999983
1797,1.534999967,1.082000017
1798,0.985000014,-0.333000004
1799,3.157000065,1.27699995
1800,0.354999989,0.197999999
1801,-0.275999993,-0.208000004
1802,-1.008999944,-0.358999997
1803,1.458999991,-0.048
1804,-1.253999949,-1.656999946
1805,-0.73299998,-1.139000058
1806,-2.217000008,-2.670000076
1807,0.63499999,-0.862999976
1808,3.486999989,1.825999975
1809,-0.448000014,-0.672999978
1810,-0.231999993,-0.827000022
1811,2.744999886,0.970000029
1812,-0.234999999,0.349000007
1813,-1.131999969,-2.934999943
1814,-0.324999988,-4.354000092
1815,1.305999994,-2.443000078
1816,2.551000118,-0.141000003
1817,-1.236999989,-2.005000114
1818,0.324000001,-2.677000046
1819,-1.600999951,-2.493000031
1820,-2.980000019,-6.157999992
1821,-0.584999979,-3.194999933
1822,0.601000011,-0.546999991
1823,0.825999975,-1.843000054
1824,1.20599997,-0.574999988
1825,1.277999997,0.751999974
1826,-1.468000054,-0.43900001
1827,-1.187000036,-0.159999996
1828,0.136999995,-0.014
1829,1.412999988,-0.071000002
1830,1.677000046,-0.273000002
1831,0.677999973,-1.361999989
1832,-1.006999969,-1.912999988
1833,2.022000074,0.386000007
1834,3.739000082,1.055999994
1835,0.469999999,-0.805000007
1836,-0.340999991,-2.517999887
1837,1.559000015,-0.58099997
1838,1.58099997,0.044
1839,-0.535000026,-0.762000024
1840,-0.147,-0.829999983
1841,-0.829999983,-1.108999968
1842,2.124000072,1.243000031
1843,3.121999979,-0.085000001
1844,0.606000006,-1.860000014
1845,-1.488000035,-3.673000097
1846,-1.511000037,-3.460000038
1847,1.093999982,0.79400003
1848,1.315000057,1.583999991
1849,0.653999984,-0.418000013
1850,-3.819000006,-7.100999832
1851,1.337000012,-5.295000076
1852,3.993000031,-0.331999987
1853,1.414000034,0.218999997
1854,2.263999939,0.472000003
1855,1.680999994,-0.509000003
1856,2.611999989,-0.75
1857,3.078000069,0.515999973
1858,0.435000002,-1.786000013
1859,0.667999983,-1.493000031
1860,0.907000005,0.331
1861,0.298999995,0.268000007
1862,3.04399991,2.423000097
1863,2.173000097,2.701999903
1864,-1.330000043,-1.49000001
1865,-0.741999984,-0.563000023
1866,0.26699999,-0.532999992
1867,2.861999989,1.695000052
1868,5.269000053,2.994999886
1869,3.252000093,1.317000031
1870,0.949000001,-0.59799999
1871,1.481999993,-0.367000014
1872,3.039000034,0.611999989
1873,1.781999946,-0.219999999
1874,1.105000019,1.01699996
1875,0.704999983,0.730000019
1876,-2.338999987,-4.302999973
1877,0.545000017,-1.067000031
1878,1.651000023,-0.735000014
1879,3.638999939,1.789999962
1880,0.282000005,-1.05400002
1881,1.860000014,-1.075000048
1882,-0.352999985,-4.271999836
1883,0.414999992,-2.161999941
1884,0.028000001,-1.110999942
1885,2.994999886,2.188999891
1886,1.389999986,2.934000015
1887,-0.549000025,-1.450000048
1888,2.046000004,0.002
1889,1.652999997,2.078999996
1890,0.439999998,1.340999961
1891,2.025000095,-0.49000001
1892,0.644999981,-1.087000012
1893,-0.393000007,0.523999989
1894,-0.503000021,-0.667999983
1895,-0.416000009,-1.853000045
1896,-0.860000014,-3.16899991
1897,1.904999971,1.121000051
1898,3.049999952,2.144999981
1899,1.843000054,1.539000034
1900,0.610000014,0.194000006
1901,0.68599999,0.69599998
1902,1.661999941,1.756000042
1903,-0.002,0.374000013
1904,1.41900003,0.166999996
1905,-0.125,-0.675999999
1906,1.210999966,0.148000002
1907,0.400999993,-0.082999997
1908,-0.379000008,-0.300999999
1909,1.047999978,1.815000057
1910,-2.305000067,-2.34100008
1911,-2.088000059,-4.598999977
1912,-0.237000003,-2.953999996
1913,-2.963000059,-2.621999979
1914,1.187000036,-2.13499999
1915,2.819999933,1.077000022
1916,0.875,1.722000003
1917,-0.272000015,0.643000007
1918,-1.238999963,-3.042999983
1919,1.871999979,0.677999973
1920,3.767999887,1.924000025
1921,0.842999995,-1.116000056
1922,-1.863999963,-3.121000051
1923,0.326999992,-1.070000052
1924,0.435000002,1.378000021
1925,1.360000014,1.488000035
1926,2.575999975,-0.178000003
1927,1.76699996,-0.555000007
1928,2.09800005,-0.275999993
1929,2.359999895,-0.324000001
1930,1.733999968,0.195999995
1931,0.818000019,0.075999998
1932,0.768999994,0.899999976
1933,2.285000086,1.80400002
1934,-0.064000003,-1.47300005
1935,1.603000045,0.463999987
1936,1.376999974,0.169
1937,1.595999956,-0.814999998
1938,2.700999975,1.583999991
1939,0.56400001,-2.190999985
1940,1.944000006,-2.84100008
1941,4.041999817,1.412999988
1942,-1.195000052,-2.190000057
1943,-3.191999912,-5.703000069
1944,-0.082000002,-1.429999948
1945,2.230999947,-0.085000001
1946,3.595999956,1.886000037
1947,0.672999978,-0.275999993
1948,1.424000025,-0.60799998
1949,0.490999997,-0.531000018
1950,2.812000036,-0.203999996
1951,2.460000038,-1.004999995
1952,0.686999977,-1.822999954
1953,0.446999997,-0.859000027
1954,1.087000012,-0.505999982
1955,1.118000031,2.270999908
1956,-1.407999992,-3.371000051
1957,-0.786000013,-3.819000006
1958,1.345000029,-1.17900002
1959,-0.810000002,-2.35800004
1960,2.219000101,-0.616999984
1961,0.133000001,-0.228
1962,-1.092000008,-1.64199996
1963,3.27699995,2.430999994
